Names,ShortName,RA,DEC,Designation,Adopted_SpT,Chisqr,Dwarf_Type,SNR,SPT_B06,SPT_C18,SPT_K10,SpT_simbad,References,Refs.,Parallax,Parallax_err,Parallax_ref,Jmag,Hmag,Kmag,AbsMag
LHS 1826,J0609+6954,92.490997,69.912781,J06095784+6954460,esdM8.5,5814.04,-3,40,esdM8.5,esdM8.5,M1,usdM6,2005PASP..117..676R,42,8.249,0.125,2020yCat.1350....0G,15.83,15.54,15.36,10.41
WISE J061135.13-041024.0,J0611-0410,92.896378,-4.1733332,J06113513-0410240,T0,668.13,0,19,T0,T0,T0,L9+T1.5,2011ApJS..197...19K,31,47.25,3.22,2014AJ....148....6G,15.49,14.64,14.22,13.86
SIPS J0614-2019,J0614-2019,93.549828,-20.321695,J06141196-2019181,L2beta,1758.72,2,57,L2beta,L2beta,L2beta,L2,2014ApJ...794..143B,2,32.476,0.399,2020yCat.1350....0G,14.78,13.9,13.38,12.34
2MASS J0614453+650437,J0614+6504,93.688744,65.076942,J0614453+650437,M8,4891.02,0,17,M8,M8beta,M8beta,,This paper,6,7.602,0.509,2020yCat.1350....0G,15.76,15.16,15.16,10.16
DENIS-P J0615493-010041,J0615-0100,93.955589,-1.0115278,J06154934-01004158,L1,13401.44,0,214,L1,L1,L1,L2.5,2014ApJ...794..143B,2,44.966,0.226,2020yCat.1350....0G,13.75,12.98,12.54,12.02
WISE J062309.94-045624.6,J0623-0456,95.791412,-4.940167,J06230994-0456246,T7,453.89,0,1,T7,T7,T7,T8,2011ApJS..197...19K,31,86.5,1.7,2020AJ....159..257B,,,,
2MASS J06235243+5137023,J0623+5137,95.96846,51.617302,J06235243+5137023,M8,7526.34,0,147,M8,M8,M8,M8,2008AJ....136.1290R,37,33.124,0.174,2020yCat.1350....0G,13.41,12.76,12.31,11.01
WISE J062442.37+662625.6,J0624+6626,96.176544,66.440445,J06244237+6626256,L1,4044.65,0,89,L1,L1,L1,,2013ApJ...776..126C,64,47.586,0.152,2020yCat.1350....0G,13.41,12.77,12.27,11.8
2MASS J06244595-4521548,J0624-4521,96.191458,-45.365194,J06244595-45215479,L7,20525.48,0,87,L6beta,L6,L5,L6.5,2007AJ....133.2320S,53,82.025,0.358,2020yCat.1350....0G,14.48,13.34,12.6,14.05
SDSS J062621.22+002934.2,J0626+0029,96.588379,0.49280554,J06262121+00293410,L1,1855.52,0,33,L1,L1,L1,L0.3V,2014ApJ...794..143B,2,15.629,1.431,2020yCat.1350....0G,15.92,15.21,14.86,11.89
WISE J062720.07-111428.0,J0627-1114,96.833626,-11.241112,J06272007-1114280,T6,2886.36,0,15,T6,T6,T6,T6,2011ApJS..197...19K,31,74.8,3.6,2019ApJS..240...19K,15.49,15.44,15.43,14.86
2MASS J06411840-4322329,J0641-4322,100.32663,-43.375805,J06411839-43223290,L2beta,17282.17,2,125,L2beta,L2beta,L2beta,L2.4:V,2014ApJ...794..143B,2,51.167,0.156,2020yCat.1350....0G,13.75,12.94,12.45,12.3
2MASS J06420559+4101599,J0642+4102,100.5232917,41.03333333,J064205592+4102000,L8,5353.33,0,34,L8,T0,T0,L9,2015ApJ...814..118B,14,62.6,3.1,2021ApJS..253....7K,16.16,15.09,14.28,15.15
2MASS J06502653-2135576,J0650-2135,102.6105417,-21.59935833,J065026538-21355769,M6,22077.1,0,286,M6,M6,M6,,2016ApJ...817..112S,11,46.313,0.032,2020yCat.1350....0G,11.51,10.89,10.55,9.83
SDSS J065405.63+652805.4,J0654+6528,103.52351,65.468086,J06540564+6528051,L6,2236.08,0,37,L6,L3,L3,L5.5,2006AJ....131.2722C,7,,,,16.14,15.2,14.6,
WISE J065609.59+420531.9,J0656+4205,104.03996,42.092194,J06560959+4205319,T3,2914.43,0,12,T3,T3,T3,T3,2011ApJS..197...19K,31,63,4.1,2020AJ....159..257B,15.45,14.87,14.83,14.44
2MASS J0656165+333758,J0656+3337,104.06875,33.632774,J0656165+333758,M7gamma,5863.99,1,26,M7gamma,M7gamma,d/sdM6,,This paper,6,5.854,0.473,2020AJ....159..257B,15.98,15.83,15.1,9.82
2MASS J06575576+4029420,J0657+4029,104.4823333,40.49501111,J065755767+4029420,M8beta,11488.06,2,212,M8beta,M8beta,M8beta,M8,2009AJ....137....1F,36,29.434,0.123,2020yCat.1350....0G,13.3,12.65,12.25,10.64
LEHPM 2-461,J0659-4747,104.79213,-47.78339,J06591011-4747002,d/sdM5,25320.61,-1,138,d/sdM5,M7,M6,M6.5,2014ApJ...794..143B,2,22.933,0.09,2020yCat.1350....0G,13.64,13.09,12.72,10.44
WISE J07053400-1839256,J0705-1839,106.3916667,-18.65696111,J07053400-1839256,L6,1407.87,0,20,L6,L8,L8,L8,2017AJ....153..196S,29,,,,16.78,15.5,14.7,
LEHPM 2-436,J0707-4900,106.97221,-49.015945,J07075333-4900574,M8,14357.61,0,173,M8,M8,M8,M8.8V,2014ApJ...794..143B,2,41.686,0.114,2020yCat.1350....0G,13.23,12.54,12.1,11.33
2MASSW J0708213+295035,J0708+2950,107.08884,29.843056,J07082132+29503500,L6,1433.03,0,32,L6,L6,L6,L5V,2000AJ....120..447K,74,,,,16.72,15.56,14.76,
2MASS J0711117+415232,J0711+4152,107.79875,41.875553,J0711117+415232,d/sdM8,1715.68,-1,17,d/sdM8,d/sdM8,d/sdM8,,This paper,6,9.052,0.747,2020AJ....159..257B,16.25,15.43,15.32,11.04
WISE J07113888+3706010,J0711+3706,107.912,37.10027778,J07113888+3706010,L5,999.1,0,22,L5,L5,L5,L6,2017AJ....153..196S,29,,,,17.16,15.47,14.91,
DENIS-P J0716478-063037,J0716-0630,109.19958,-6.5102501,J07164790-06303696,L1,3640.23,0,145,L1,L1,L1,L1.0,2014ApJ...794..143B,2,40.844,0.252,2020yCat.1350....0G,13.9,13.07,12.56,11.95
2MASSW J0717163+570543,J0717+5705,109.31775,57.095276,J07171626+5705430,L3beta,7174.07,2,86,L3beta,L3,L3,L3,2010ApJ...710.1142B,15,34.547,0.582,2020yCat.1350....0G,14.64,13.59,12.94,12.33
2MASS J0720341-490235,J0720-4902,110.14209,-49.043056,J0720341-490235,d/sdM5,2692.79,-1,27,d/sdM5,d/sdM5,d/sdM5,,2018A&A...619L...8R,5,11.477,0.215,2020yCat.1350....0G,15.31,14.86,14.39,10.61
LSPM J0721+0308,J0721+0308,110.34483,3.1469445,J07212276+0308490,sdM5,1328.78,-2,62,sdM5,sdM4,sdM4,,2005AJ....129.1483L,16,5.057,0.301,2020yCat.1350....0G,15.69,15.1,14.96,9.21
2MASS J07231462+5727081,J0723+5727,110.81091,57.452251,J07231462+5727081,L1beta,18442.76,2,125,L1beta,L2beta,L2beta,L0.2V,2014ApJ...794..143B,2,39.841,0.256,2020yCat.1350....0G,13.97,13.16,12.61,11.97
LSR 0723+0316,J0723+0316,110.92937,3.2727222,J07234305+0316218,sdM7,2304.72,-2,99,sdM7,sdM7,sdM7,sdM7.5,2005AJ....129.1483L,16,14.889,0.101,2020yCat.1350....0G,14.54,14.12,13.88,10.41
WISE J07235262-3309435,J0723-3309,110.96925,-33.16195833,J07235262-3309435,L3beta,3226.83,2,48,L3beta,L3beta,L3,L5,2017AJ....153..196S,29,30.835,1.969,2020yCat.1350....0G,15.74,14.47,13.72,13.19
2MASS J07244848+2506143,J0724+2506,111.204125,25.1053,J07244848+2506143,L3,3398,0,52,L3,L5,L4,L4,2017AJ....154..112K,10,,,,16.48,15.42,14.83,
2MASS J0725509+475632,J0725+4756,111.46208,47.942223,J0725509+475632,M6,2940.69,0,12,M6,M6,d/sdM6,,This paper,6,6.151,0.454,2020yCat.1350....0G,16.04,15.68,15.47,9.99
GJ 2060 C,J0728-3015,112.21221,-30.265612,J07285117-3015527,M5,7500.16,0,264,M5,M5,M5,M5V,2008AJ....135.2024A,75,65.318,0.024,2020yCat.1350....0G,8.9,8.37,8.06,7.97
2MASS J07290002-3954043,J0729-3954,112.25008,-39.901196,J07290002-3954043,T7,2561.03,0,3,T7,T7,T7,T8pec,2007AJ....134.1162L,72,126.3,8.3,2012ApJ...752...56F,15.92,15.98,15.29,16.43
SDSS J07325801+29164400,J0732+2916,113.24171,29.278833,J07325801+2916438,M8,721.27,0,23,M8,M8,M8,M9,2008AJ....135..785W,76,10.601,0.639,2020yCat.1350....0G,15.76,14.98,14.58,10.88
SDSS J07342570+30065792,J0734+3006,113.60712,30.116196,J07342571+3006583,M8beta,936.68,2,38,M8beta,M8,M8beta,M8V,2014ApJ...794..143B,2,14.455,0.306,2020yCat.1350....0G,15.13,14.38,14.08,10.93
SDSS J07351959+4108503,J0735+4108,113.83163,41.147308,J07351959+4108503,M8gamma,2700.63,1,44,M8gamma,d/sdM8,d/sdM8,L0,2014ApJ...794..143B,2,14.572,0.636,2020yCat.1350....0G,15.78,15.25,14.85,11.6
2MASS J07354882+2720167,J0735+2720,113.95342,27.337973,J07354882+2720167,L1,2057.25,0,32,L1,L1,L1,L?,2011ApJ...732...56G,49,,,,16.94,16.11,15.66,
SDSS J073922.26+661503.5,J0739+6615,114.84179,66.251083,J07392203+6615039,T1,2269.52,0,11,T1,T1,T1,T1.5,2006AJ....131.2722C,7,,,,16.82,16,15.83,
2MASSW J0740096+321203,J0740+3212,115.04021,32.20089,J07400965+32120320,L6,5179.21,0,73,L6,L4,L6,L4.5V,2014ApJ...794..143B,2,,,,16.19,14.86,14.22,
LP 423-14,J0741+1738,115.278375,17.64610833,J074106817+17384599,M8beta,30606.62,2,249,M8beta,M8beta,M8beta,M7.0V,2012AJ....144...99D,77,53.586,0.089,2020yCat.1350....0G,12.01,11.35,10.94,10.66
SDSS J074149.15+235127.5,J0741+2351,115.455,23.857639,J07414920+2351275,T5,2457.26,0,15,T5,T6,T6,T5,2010ApJ...710.1142B,15,53,3.7,2020AJ....159..257B,16.16,15.84,15.85,14.78
2MASS J07415784+0531568,J0741+0531,115.491,5.532444,J07415784+0531568,L2beta,13272.24,2,82,L2beta,L2,L2beta,L1,2010ApJS..190..100K,9,38.353,0.363,2020yCat.1350....0G,14.39,13.61,13.12,12.31
SDSS J074201.41+205520.5,J0742+2055,115.50541,20.922167,J07420130+2055198,T5,1222.6,0,21,T5,T5,T5,T5,2010ApJ...710.1142B,15,58.4,3.3,2020AJ....159..257B,16.19,15.91,15.22,15.03
WISE J07421169-1211516,J0742-1211,115.54871,-12.197667,J07421169-1211516,esdM0,9481.44,-3,70,esdM0,esdM0,esdM0,M0.0,2014ApJ...783..122K,54,5.221,0.018,2020yCat.1350....0G,12.63,12.07,11.91,6.22
SDSS J074653.21+394509.9,J0746+3945,116.7217917,39.75273611,J074653235+39450985,M6,24122.33,0,167,M6,M6,M7,M7,2014PASP..126..642S,78,32.305,0.063,2020yCat.1350....0G,12.57,11.95,11.62,10.12
SDSS J074756.31+394732.9,J0747+3947,116.98463,39.792473,J07475631+3947329,L0,7110.45,0,65,L0,M9,M9,L0V,2014ApJ...794..143B,2,20.554,0.428,2020yCat.1350....0G,15.08,14.16,13.72,11.64
SDSS J074838.61+174332.9,J0748+1743,117.16088,17.725805,J07483861+1743329,L5,947.34,0,35,L5,L5,L5,L5,2014ApJ...794..143B,2,,,,16.27,15.18,14.42,
SDSS J07500493+3306179,J0750+3306,117.52063,33.105,J07500495+3306180,M9,1385.74,0,26,M9,M8,M8,L0,2010AJ....139.1808S,79,10.365,1.785,2020yCat.1350....0G,16.14,15.36,15.2,11.22
SDSS J075054.74+445418.7,J0750+4454,117.72771,44.904503,J07505465+4454162,d/sdM8,11091.22,-1,84,d/sdM8,d/sdM8,d/sdM9,M9V,2013PASP..125..809T,50,19.867,0.344,2020yCat.1350....0G,15.13,14.46,14.25,11.62
LSPM J0752+1809,J0752+1809,118.08784,18.15786,J07522108+1809283,d/sdM4,1649.61,-1,67,d/sdM4,d/sdM4,d/sdM4,M5,2019AJ....157..231K,80,5.977,0.205,2020yCat.1350....0G,15.43,14.96,14.74,9.31
SDSS J075259.43+413634.6,J0752+4136,118.24759,41.609554,J07525942+4136344,L1,1037.19,0,24,L1,L1,L1,M7V,2002AJ....123.3409H,40,11.734,0.158,2020yCat.1350....0G,16.36,15.6,15.19,11.7
2MASSI J0753321+291711,J0753+2917,118.384,29.286638,J07533216+29171190,L2,4234.48,0,77,L2,L2,L2,L2V,2014ApJ...794..143B,2,23.867,0.729,2020yCat.1350....0G,15.52,14.53,13.85,12.4
2MASS J07552723+1138485,J0755+1138,118.8620417,11.64639444,J07552723+1138485,L2,830.93,0,17,L2,L2,L2,L2,2017AJ....154..112K,10,,,,17.26,16.36,15.47,
2MASSI J0755480+221218,J0755+2212,118.94979,22.204695,J07554795+2212169,T5,1750.04,0,12,T5,T5,T5,T5.2,2006ApJ...637.1067B,1,58.9,3.3,2020AJ....159..257B,15.73,15.67,15.75,14.58
2MASS J07575274+0914103,J0757+0914,119.46974,9.2361946,J07575274+0914103,L3,2176.74,0,45,L3,L2,L3,L3.7:V,2014ApJ...794..143B,2,,,,15.86,14.83,14.09,
HIP 38939B,J0758-2539,119.50671,-25.650389,J07580161-2539014,T5,3472.79,0,12,T5,T5,T5,T4.5V,2012ApJ...755...94D,81,55.6,3.6,2020AJ....159..257B,16.12,15.8,15.86,14.85
SDSS J075840.33+324723.4,J0758+3247,119.66821,32.790138,J07584037+3247245,T2,11204.75,0,88,T2,T2,T3,T0.0+T3.5,2008ApJ...681..579B,38,91.93,1.74,2020yCat.1350....0G,14.95,14.11,13.88,14.76
2MASS J08002758+5511346,J0800+5511,120.1149167,55.19296667,J080027586+5511346,L1,10160.72,0,81,L1,L2beta,L1,L1,2010AJ....139.1808S,79,27.517,0.437,2020yCat.1350....0G,14.62,13.82,13.36,11.82
SDSS J080048.13+465825.5,J0800+4658,120.20063,46.973778,J08004815+46582560,L1,2700.63,0,71,L1,L1,L2beta,L1.3V,2014ApJ...794..143B,2,21.178,0.77,2020yCat.1350....0G,15.51,14.55,14.32,12.14
2MASSW J0801405+462850,J0801+4628,120.419,46.480499,J08014056+4628498,L5,2472.99,0,40,L5,L5,L5,L6.5V,2010ApJ...710.1142B,15,,,,16.27,15.45,14.54,
2MASS J08041429+0330474,J0804+0330,121.05954,3.5131667,J08041429+0330474,L0,17975.06,0,114,L0,L1,L1,M9.7V,2014ApJ...794..143B,2,27.686,0.278,2020yCat.1350....0G,13.69,12.97,12.44,10.9
2MASS J08051104-3158115,J0805-3158,121.296,-31.96973611,J08051104-3158115,M9gamma,11868.64,1,120,M9gamma,M9gamma,M9gamma,M8.0,2008MNRAS.383..831P,82,42.207,0.097,2020yCat.1350....0G,13.11,12.57,12.11,11.24
WISE J080700.23+413026.8,J0807+4130,121.75096,41.507446,J08070023+4130268,L6,6685.76,0,80,L6,L6,L8,L8pec,2013PASP..125..809T,50,51.1,3.8,2020AJ....159..257B,15.84,14.78,14.35,14.38
SDSS J080959.01+443422.2,J0809+4434,122.49596,44.572666,J08095903+4434216,L7,14416.22,0,78,L6beta,L6beta,L6beta,L6.0,2014ApJ...794..143B,2,42.4,3.6,2020AJ....159..257B,16.44,15.18,14.42,14.57
SDSS J081058.60+142038.1,J0810+1420,122.74416,14.343916,J08105860+1420381,M8,13961.03,0,190,M8,M8,M8,M8V,2019ApJ...883..205B,51,41.952,0.13,2020yCat.1350....0G,12.73,12.05,11.59,10.85
SDSS J081110.30+185527.9,J0811+1855,122.79333,18.924444,J08111040+1855280,L1,8414.94,0,97,L1,L1,L1,M11,2019AJ....157..231K,80,33.589,0.414,2020yCat.1350....0G,14.48,13.66,13.19,12.11
2MASS J08125319+3721048,J0812+3721,123.221625,37.35134167,J081253196+37210483,L2beta,764.44,2,26,L2beta,L1,L2beta,L3,2016ApJ...830..144R,19,17.606,1.928,2020yCat.1350....0G,15.75,14.98,14.28,11.98
2MASS J08151407+1030117,J0815+1030,123.808625,10.50325,J081514075+10301170,M8beta,20099.72,2,256,M8beta,M8beta,M8beta,M7,2008AJ....136.1290R,37,39.229,0.111,2020yCat.1350....0G,12.42,11.74,11.33,10.39
SDSS J08175749+1824050,J0817+1824,124.48955,18.401388,J08175749+1824050,L1,2333.81,0,53,L1,L1,L1,L2.0V,2014ApJ...794..143B,2,23.434,0.468,2020yCat.1350....0G,15.09,14.29,13.82,11.94
SDSS J08181228+3310482,J0818+3310,124.55117,33.180058,J08181228+3310482,L1,3786.69,0,43,L1,L1,L1,L1.3V,2014ApJ...794..143B,2,16.158,1.411,2020yCat.1350....0G,15.98,15.37,15.06,12.03
2MASS J0818332-003628,J0818-0036,124.63855,-0.60783339,J08183325-0036282,d/sdM6,2412.33,-1,30,d/sdM6,d/sdM6,d/sdM6,M6,2007AJ....133..439C,18,1.768,0.49,2020yCat.1350....0G,16.6,15.36,,7.84
2MASS J08192194-1243593,J0819-1243,124.84141,-12.733138,J08192194-1243593,M7gamma,1212.76,1,33,M7gamma,M8,d/sdM8,,This paper,6,9.386,0.601,2020yCat.1350....0G,15.65,15.05,14.66,10.51
SDSS J081946.02+165853.9,J0819+1658,124.94174,16.98164,J08194602+1658539,M8,12854.09,0,123,M8,M8,M8,M8.6V,2014ApJ...794..143B,2,33.046,0.251,2020yCat.1350....0G,13.79,13.1,12.62,11.38
WISE J081958.05-033528.5,J0819-0335,124.99187,-3.5912499,J08195805-0335285,T4,2747.34,0,24,T4,T4,T4,T4,2011ApJS..197...19K,31,71.7,3.3,2020AJ....159..257B,14.99,14.64,14.59,14.27
2MASSW J0820299+450031,J0820+4500,125.12482,45.008751,J08202996+4500315,L7,2438.76,0,34,L6beta,L6,L4gamma,L5V,2010ApJ...710.1142B,15,30.9,3.6,2020AJ....159..257B,16.28,15,14.22,13.73
SDSS J082030.12+103737.0,J0820+1037,125.12553,10.627,J08203013+1037372,L9,4319.78,0,19,L9,T1,T1,L9.5,2006AJ....131.2722C,7,,,,16.98,16.08,15.54,
WISE J08211048+6007342,J0821+6007,125.29368,60.126163,J08211048+6007342,M8beta,6068.18,2,98,M8beta,M8beta,M8beta,,2016ApJS..224...36K,26,14.502,0.372,2020yCat.1350....0G,15.32,14.6,14.18,11.13
WISE J082131.64+144319.2,J0821+1443,125.38184,14.721999,J08213164+1443192,T5,1127.4,0,5,T5,T5,T5,T5.5,2011ApJS..197...19K,31,43.7,3.9,2020AJ....159..257B,16.82,16.52,17.09,15.03
LSR 0822+1700,J0822+1700,125.64038,17.005527,J08223369+1700199,esdM8.5,3543.28,-3,31,esdM8.5,esdM6.5,esdM6.5,usdM7.5,2006ApJ...645.1485B,83,9.201,0.182,2020yCat.1350....0G,15.72,15.52,15.62,10.54
2MASS J08230838+6125208,J0823+6125,125.78487,61.422417,J08230837+61252079,L2,4269.7,0,108,L2,L2,L2,L2.5V,2014ApJ...794..143B,2,39.467,0.359,2020yCat.1350....0G,14.82,13.81,13.2,12.8
2MASSI J0825196+211552,J0825+2115,126.332,21.264473,J08251968+2115521,L7,25686.67,0,113,L6beta,L6beta,L8,L7.5V,2010ApJ...710.1142B,15,92.601,0.822,2020yCat.1350....0G,15.1,13.79,13.03,14.93
SDSS J08264265+19392195,J0826+1939,126.67758,19.656221,J08264262+1939224,M9,18662,0,107,M9,M8,M9,M9V,2014ApJ...794..143B,2,23.608,0.412,2020yCat.1350....0G,14.78,14.01,13.58,11.64
2MASS J08270185+4129191,J0827+4129,126.7564167,41.48918056,J08270185+4129191,L2beta,3457.3,2,73,L2beta,L2beta,L1beta,L1,2017AJ....154..112K,10,,,,15.91,15.41,14.65,
2MASS J08272028+4502043,J0827+4502,126.8345,45.03445278,J08272028+4502043,M8,15485.15,0,216,M8,M8,M8,M8V,2011AJ....141...97W,84,29.474,0.171,2020yCat.1350....0G,13.38,12.74,12.34,10.73
2MASSW J0829066+145622,J0829+1456,127.27767,14.939584,J08290664+1456225,L1beta,6169.33,2,87,L1beta,L1beta,L2,L2V,2014ApJ...794..143B,2,37.472,0.448,2020yCat.1350....0G,14.75,13.8,13.17,12.62
2MASS J08294908-0012241,J0829-0012,127.4545,-0.206711111,J082949085-0012241,M8,24869.3,0,151,M8,M8,M8,M7,2009AJ....137....1F,36,22.634,0.169,2020yCat.1350....0G,13.49,12.83,12.46,10.26
PSO J127.4696+10.5777,J0829+1034,127.4697083,10.57778889,J08295273+1034404,L3gamma,1053.51,1,26,L3gamma,L3beta,L2,L4,2015ApJ...814..118B,14,,,,,,,
2MASSW J0829570+265510,J0829+2655,127.48775,26.919416,J08295706+26550990,L7,2330.84,0,30,L6beta,L6beta,L6gamma,L6.5V,2014ApJ...794..143B,2,,,,17.11,15.81,14.96,
SDSSp J083008.12+482847.4,J0830+4828,127.53438,48.480057,J08300825+4828482,L9,17383.95,0,77,L9,T0,T0,L9.5,2008ApJ...681..579B,38,80.629,2.113,2020yCat.1350....0G,15.44,14.34,13.68,14.98
SDSS J083048.80+012831.1,J0830+0128,127.70325,1.4753056,J08304878+0128311,T5,3214.32,0,19,T5,T5,T5,T5.5,2010ApJ...710.1142B,15,42.7,4.7,2020AJ....159..257B,16.29,16.14,16.36,14.44
2MASS J08315564+1025466,J0831+1025,127.98183,10.429611,J08315564+1025466,M8,5539.05,0,71,M8,M8,M8,M9V,2014ApJ...794..143B,2,31.703,0.201,2020yCat.1350....0G,13.62,12.96,12.45,11.13
2MASSW J0832045-012835,J0832-0128,128.0188,-1.4766667,J08320451-0128360,L2beta,17690.16,2,156,L2beta,L2beta,L2beta,L1.5V,2014ApJ...794..143B,2,41.926,0.296,2020yCat.1350....0G,14.13,13.32,12.71,12.24
WISE J083450.79+642526.1,J0834+6425,128.71162,64.423912,J08345079+6425261,d/sdM8,4377.99,-1,75,d/sdM8,d/sdM8,d/sdM8,M8,2013PASP..125..809T,50,13.629,0.508,2020yCat.1350....0G,15.63,15.12,14.58,11.31
2MASS J08352366+1029318,J0835+1029,128.84857,10.492167,J08352366+1029318,M8,5479.77,0,185,M8,M8,M8,M7.9V,2014ApJ...794..143B,2,36.898,0.15,2020yCat.1350....0G,13.14,12.49,12.04,10.97
2MASSI J0835425-081923,J0835-0819,128.92732,-8.3232498,J08354256-0819237,L3beta,8051.44,2,92,L3beta,L3beta,L3beta,L6.5,2010ApJ...710.1142B,15,138.315,0.214,2020yCat.1350....0G,13.17,11.94,11.14,13.87
SDSS J08354533+2224308,J0835+2224,128.93904,22.408611,J08354537+2224310,M9gamma,6035.17,1,56,M9gamma,M8,M8,M9V,2014ApJ...794..143B,2,12.721,0.729,2020yCat.1350....0G,15.74,14.93,14.45,11.26
SDSS J083557.35+431831.1,J0835+4318,128.98875,43.30866389,J08355736+4318310,M8,17487.16,0,209,M8,M8,M8beta,M7,2014PASP..126..642S,78,31.229,0.412,2020yCat.1350....0G,13.05,12.38,11.96,10.52
2MASS J08355829+0548308,J0835+0548,128.99287,5.8085556,J08355829+05483080,L0beta,11009.35,2,112,L0beta,L2beta,L2beta,L1.7V,2014ApJ...794..143B,2,25.669,0.37,2020yCat.1350....0G,14.53,13.68,13.17,11.58
SDSS J08362199+4949315,J0836+4949,129.09163,49.825417,J08362199+4949315,M9gamma,5039.54,1,70,M9gamma,M9gamma,M9gamma,M9V,2014ApJ...794..143B,2,16.563,0.705,2020yCat.1350....0G,15.42,14.64,14.54,11.52
SDSS J08364634+0526426,J0836+0526,129.19313,5.4451666,J08364635+0526426,L0,3502.35,0,55,L0,L1,M9,M9.4V,2014ApJ...794..143B,2,18.39,0.323,2020yCat.1350....0G,14.58,13.9,13.29,10.9
2MASS J08391608+1253543,J0839+1253,129.817,12.898417,J08391608+1253543,M8,8522.21,0,141,M8,M8,M8,M9V,2014ApJ...794..143B,2,23.987,0.219,2020yCat.1350....0G,13.75,13.09,12.59,10.65
2MASS J08404912+4827404,J0840+4827,130.2046667,48.461125,J08404912+4827405,M8beta,24944.84,2,174,M8beta,M7gamma,d/sdM8,M9V,2011AJ....141...97W,84,28.136,0.131,2020yCat.1350....0G,13.46,12.8,12.44,10.71
LHS 2307,J0840-2327,130.24684,-23.456472,J08405924-2327233,M4,28233.61,0,424,M4,M4,M4,M3.5V,2014AJ....148...91L,85,65.877,0.041,2020yCat.1350....0G,7.93,7.32,7.03,7.03
SDSS J08410685+6035063,J0841+6035,130.27853,60.585083,J08410685+6035063,L2beta,3088.34,2,62,L2beta,L2beta,L2,L1.5V,2014ApJ...794..143B,2,19.12,1.799,2020yCat.1350....0G,15.94,15.03,14.69,12.35
SDSS J08430794+3141292,J0843+3141,130.78308,31.691444,J08430794+3141292,L2,1115.19,0,54,L2,L2,L2,L2.5V,2014ApJ...794..143B,2,17.088,1.565,2020yCat.1350....0G,15.99,15.22,14.65,12.16
SDSS J08433328+1024435,J0843+1024,130.88867,10.412083,J08433328+1024435,L1,7311.46,0,87,L1,L1,L1,L2.7:V,2014ApJ...794..143B,2,32.238,0.474,2020yCat.1350....0G,14.87,14.08,13.67,12.41
SDSS J084403.46+043436.19,J0844+0434,131.01442,4.5766945,J08440346+04343619,M8,5101.36,0,148,M8,M8,M8,M9V,2014ApJ...794..143B,2,36.376,0.158,2020yCat.1350....0G,13.46,12.83,12.41,11.26
2MASS J08443811+2226161,J0844+2226,131.1584583,22.43916667,J08443811+2226161,L2,797.71,0,20,L2,L2,L2,L2,2017AJ....154..112K,10,,,,16.8,16.18,15.09,
LSPM J0846+1421,J0846+1421,131.7188,14.363361,J08465251+1421481,sdM2,943.34,-2,48,sdM2,sdM2,esdM4,,2005AJ....129.1483L,16,4.196,0.221,2020yCat.1350....0G,15.76,15.18,15.32,8.87
2MASSI J0847287-153237,J0847-1532,131.86967,-15.543667,J08472872-1532372,L1beta,7726.96,2,77,L1beta,L1,L2beta,L1.5,2006AJ....132.2074M,86,57.511,0.205,2020yCat.1350....0G,13.51,12.63,12.06,12.31
SDSS J08475148+0138110,J0847+0138,131.96451,1.6363889,J08475148+0138110,L2,1020.23,0,29,L2,L2,L2,L3.2V,2014ApJ...794..143B,2,,,,16.23,15.12,14.41,
2MASS J08490052+0220155,J0849+0220,132.25217,2.3376389,J08490052+0220155,M7gamma,23540.05,1,200,M7gamma,M8beta,M7gamma,M7.3V,2014ApJ...794..143B,2,32.522,0.086,2020yCat.1350....0G,12.93,12.3,11.91,10.49
2MASS J08500174-1924184,J0850-1924,132.50725,-19.40511389,J085001745-1924184,M8,28482.73,0,218,M8,M8,M8,M8,2009AJ....137....1F,36,27.939,0.514,2020yCat.1350....0G,12.76,12.13,11.63,10
NLTT 20346B,J0850+1056,132.57993,10.945444,J08501918+1056436,d/sdM4,18943.67,-1,258,d/sdM4,M5,M5,M5e+M6e,2011AJ....141...71F,87,25.188,0.029,2020yCat.1350....0G,11.28,10.68,10.41,8.29
SDSS J085116.20+181730.0,J0851+1817,132.81779,18.291721,J08511627+1817302,L5,1748.98,0,23,L5,L5,L5,L6,2006AJ....131.2722C,7,,,,16.57,15.95,14.97,
2MASS J08514509-0005360,J0851-0005,132.93788,-0.093333334,J08514509-0005360,d/sdM8,1417.33,-1,32,d/sdM8,d/sdM8,d/sdM8,M7.5,2010MNRAS.404.1817Z,88,9.454,0.697,2020yCat.1350....0G,15.99,15.29,15.43,10.87
WISE J08522436+5139255,J0852+5139,133.1015,51.657085,J08522436+5139255,d/sdM7,12796.98,-1,86,d/sdM7,M7gamma,d/sdM6,M7.5,2014ApJ...783..122K,54,21.257,0.206,2020yCat.1350....0G,13.98,13.45,13.11,10.62
SDSS J085234.90+472035.0,J0852+4720,133.14542,47.343304,J08523490+4720359,L9,3574.34,0,34,L9,L9,T0,L9.5,2010ApJ...710.1142B,15,42.2,3.4,2020AJ....159..257B,16.18,15.42,14.72,14.31
2MASS J08524613-0316138,J0852-0316,133.1922,-3.2704999,J08524613-0316138,M7gamma,588.4,1,15,M7gamma,M8,M8,,This paper,6,6.972,1.495,2020yCat.1350....0G,16.21,15.68,15.02,10.43
